halal_status,name,source
halal,Pringles,Muslim consumer group product list
halal,Pringles,Muslim consumer group product list
halal,Pepsi,Muslim consumer group product list
haram,Kirkland,Muslim consumer group product list
halal,Vapor Rub,Muslim consumer group product list
halal,Cepacol,Muslim consumer group product list
halal,Sucrets,Muslim consumer group product list
haram,Sudafed,Muslim consumer group product list
halal,Breath Right,Muslim consumer group product list
halal,Pedia Sure,Muslim consumer group product list
haram,Fragmin,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
haram,Sudafed,Muslim consumer group product list
haram,Bengay,Muslim consumer group product list
haram,Icy Hot,Muslim consumer group product list
haram,Aleve,Muslim consumer group product list
halal,Midol,Muslim consumer group product list
halal,Vanquish,Muslim consumer group product list
unknown,Tylenol,Muslim consumer group product list
unknown,Tylenol,Muslim consumer group product list
halal,Aleve,Muslim consumer group product list
halal,Anacin,Muslim consumer group product list
unknown,Ecotrin,Muslim consumer group product list
haram,Equate,Muslim consumer group product list
haram,Equate,Muslim consumer group product list
haram,Motrin,Muslim consumer group product list
unknown,Tylenol,Muslim consumer group product list
halal,Advil,Muslim consumer group product list
halal,Advil,Muslim consumer group product list
unknown,Advil,Muslim consumer group product list
unknown,Advil,Muslim consumer group product list
halal,Advil,Muslim consumer group product list
halal,Adwe Kosher,Muslim consumer group product list
halal,Vaseline,Muslim consumer group product list
halal,Afrin,Muslim consumer group product list
haram,Afrin,Muslim consumer group product list
haram,Sudafed,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
halal,Bengay,Muslim consumer group product list
halal,Bengay,Muslim consumer group product list
halal,Bengay,Muslim consumer group product list
halal,Bengay,Muslim consumer group product list
haram,Equate,Muslim consumer group product list
haram,Beno,Muslim consumer group product list
unknown,Garcinia Cambogia,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Chapstick,Muslim consumer group product list
unknown,Metamucil,Muslim consumer group product list
halal,Fougera,Muslim consumer group product list
halal,Takida,Muslim consumer group product list
halal,Takida,Muslim consumer group product list
halal,Equate,Muslim consumer group product list
halal,Theraflu,Muslim consumer group product list
haram,Theraflu,Muslim consumer group product list
halal,Mucinex,Muslim consumer group product list
halal,Mucines,Muslim consumer group product list
halal,Mucinex,Muslim consumer group product list
unknown,Immodium,Muslim consumer group product list
halal,365 Everyday Value (whole Foods),Muslim consumer group product list
haram,Delsym,Muslim consumer group product list
haram,Halls,Muslim consumer group product list
halal,Robitussin,Muslim consumer group product list
halal,Robitussin,Muslim consumer group product list
haram,Delsym,Muslim consumer group product list
halal,"Walgreen, Cvc, Target, Heb, Best Health, Assured, Family Dollar, Good Sense, Our Family",Muslim consumer group product list
unknown,Halls,Muslim consumer group product list
halal,Sucrets,Muslim consumer group product list
haram,Triaminic,Muslim consumer group product list
halal,Vicks,Muslim consumer group product list
haram,Sudafed,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
halal,Chloraseptic,Muslim consumer group product list
haram,Vick,Muslim consumer group product list
halal,Vick,Muslim consumer group product list
halal,Theraflu,Muslim consumer group product list
halal,Triaminic,Muslim consumer group product list
haram,Sudafed Pe,Muslim consumer group product list
halal,Zican,Muslim consumer group product list
halal,Contact,Muslim consumer group product list
haram,Contact,Muslim consumer group product list
haram,Contact,Muslim consumer group product list
haram,Nyquil,Muslim consumer group product list
halal,Vicks,Muslim consumer group product list
haram,Theraflu,Muslim consumer group product list
haram,Theraflu,Muslim consumer group product list
haram,Theraflu,Muslim consumer group product list
haram,Theraflu,Muslim consumer group product list
halal,Advil,Muslim consumer group product list
haram,Mucinex,Muslim consumer group product list
haram,Lovenox,Muslim consumer group product list
halal,Schering-plough,Muslim consumer group product list
haram,Equate,Muslim consumer group product list
halal,Lupin,Muslim consumer group product list
halal,Alka Seltzer,Muslim consumer group product list
haram,Alka Seltzer,Muslim consumer group product list
haram,Rolaid,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Maalox,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Pepto Bismol,Muslim consumer group product list
haram,Zantac,Muslim consumer group product list
halal,Tums,Muslim consumer group product list
halal,Tums,Muslim consumer group product list
halal,Tums,Muslim consumer group product list
unknown,Tums,Muslim consumer group product list
"<img src=""media/icons/exclaim.png"" alt=""exclaim"" title=""exclaim"" width=""16"" height=""16"">",Benadryl,Muslim consumer group product list
halal,Benadryl,Muslim consumer group product list
haram,Benadryl,Muslim consumer group product list
haram,Benadryl,Muslim consumer group product list
halal,Claritin,Muslim consumer group product list
haram,Claritin,Muslim consumer group product list
halal,Alvert,Muslim consumer group product list
halal,Benadryl,Muslim consumer group product list
halal,Advil,Muslim consumer group product list
halal,Advil,Muslim consumer group product list
halal,Zyrted,Muslim consumer group product list
haram,Mucinex,Muslim consumer group product list
unknown,Tessalon,Muslim consumer group product list
halal,Badger,Muslim consumer group product list
